comment,percentco,startsta,difflike,uid,startfo,timerank,time,percentlike,startrepost,follower,percentfo,likes,startlikes,picindex,friends,statuses,repost,verified,idindex,lenindex,percentrepo,gender,diffrepo,startcomment,bi_follow,diffco,timestamp,difffo
14925,578.7126793,200,1202,1797270765,5065124,34,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,657,2579,88,45,12/5/17 8:55,4
14925,578.7126793,200,505,1797270765,5065124,35,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,686,2579,88,84,12/5/17 9:05,6
14925,578.7126793,200,331,1797270765,5065124,36,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,595,2579,88,91,12/5/17 9:15,3
14925,578.7126793,200,25,1797270765,5065124,37,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,576,2579,88,71,12/5/17 9:25,6
14925,578.7126793,200,20,1797270765,5065124,38,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,547,2579,88,43,12/5/17 9:35,7
14925,578.7126793,200,-2,1797270765,5065124,39,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,690,2579,88,52,12/5/17 9:45,0
14925,578.7126793,200,-9,1797270765,5065124,40,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,727,2579,88,52,12/5/17 9:55,9
14925,578.7126793,200,-8,1797270765,5065124,41,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,674,2579,88,52,12/5/17 10:05,2
14925,578.7126793,200,-11,1797270765,5065124,42,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,602,2579,88,63,12/5/17 10:15,0
14925,578.7126793,200,1,1797270765,5065124,43,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,659,2579,88,66,12/5/17 10:25,2
14925,578.7126793,200,9,1797270765,5065124,44,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,664,2579,88,53,12/5/17 10:35,2
14925,578.7126793,200,-1,1797270765,5065124,45,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,623,2579,88,74,12/5/17 10:45,2
14925,578.7126793,200,-8,1797270765,5065124,46,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,669,2579,88,84,12/5/17 10:55,5
14925,578.7126793,200,2,1797270765,5065124,47,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,660,2579,88,84,12/5/17 11:05,4
14925,578.7126793,200,-1,1797270765,5065124,48,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,652,2579,88,68,12/5/17 11:15,4
14925,578.7126793,200,2,1797270765,5065124,49,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,685,2579,88,112,12/5/17 11:26,0
14925,578.7126793,200,3,1797270765,5065124,50,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,810,2579,88,89,12/5/17 11:36,1
14925,578.7126793,200,0,1797270765,5065124,51,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,721,2579,88,107,12/5/17 11:46,4
14925,578.7126793,200,1,1797270765,5065124,52,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,674,2579,88,112,12/5/17 11:56,1
